"","Department","Entity","Expense Category","Expense Area","Supplier Name","Transaction Reference","Date Paid","Amount"
"855","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","King Street Medical Centre",15623,2011-01-24,44.25
"856","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","King Street Medical Centre",15623,2011-01-24,87.14
"857","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","King Street Medical Centre",15623,2011-01-24,184.64
"858","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","King Street Medical Centre",15623,2011-01-24,225
"859","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","King Street Medical Centre",15623,2011-01-24,834.67
"860","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","King Street Medical Centre",15623,2011-01-24,1145.83
"861","Department of Health","NHS East Lancashire","GMS LES - Coronary Vascular Disease","GMS","King Street Medical Centre",15623,2011-01-24,1550
"862","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","King Street Medical Centre",15623,2011-01-24,2823.37
"863","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","King Street Medical Centre",15623,2011-01-24,3227.57
"864","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","King Street Medical Centre",15623,2011-01-24,11074.8
"865","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Great Harwood Medical Group",15623,2011-01-24,3.59
"866","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Great Harwood Medical Group",15623,2011-01-24,15.05
"867","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Great Harwood Medical Group",15623,2011-01-24,110
"868","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Great Harwood Medical Group",15623,2011-01-24,434.42
"869","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Great Harwood Medical Group",15623,2011-01-24,475
"870","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Great Harwood Medical Group",15623,2011-01-24,675
"871","Department of Health","NHS East Lancashire","GMS LES - Vasectomy","GMS","Great Harwood Medical Group",15623,2011-01-24,866.67
"872","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Great Harwood Medical Group",15623,2011-01-24,1472.7
"873","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Great Harwood Medical Group",15623,2011-01-24,2200
"874","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Great Harwood Medical Group",15623,2011-01-24,4814.09
"875","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Great Harwood Medical Group",15623,2011-01-24,7867.36
"876","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Great Harwood Medical Group",15623,2011-01-24,32213.83
"877","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Dr Jehangir",15623,2011-01-24,4.96
"878","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Dr Jehangir",15623,2011-01-24,17.7
"879","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Dr Jehangir",15623,2011-01-24,25
"880","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Dr Jehangir",15623,2011-01-24,83.03
"881","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Dr Jehangir",15623,2011-01-24,200
"882","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Dr Jehangir",15623,2011-01-24,650.5
"883","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Dr Jehangir",15623,2011-01-24,1737.01
"884","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Dr Jehangir",15623,2011-01-24,3139.09
"885","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dr Jehangir",15623,2011-01-24,14646.73
"886","Department of Health","NHS East Lancashire","GMS - Adv Recd - Disp GP's","GMS","Harambee Surgery",15623,2011-01-24,-15560.84
"887","Department of Health","NHS East Lancashire","GMS - Prescription Charges - Disp Drs","GMS","Harambee Surgery",15623,2011-01-24,-1159.2
"888","Department of Health","NHS East Lancashire","GMS DES - IM&T Developments","GMS","Harambee Surgery",15623,2011-01-24,1.12
"889","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Harambee Surgery",15623,2011-01-24,7.51
"890","Department of Health","NHS East Lancashire","GMS - Swine Flu","GMS","Harambee Surgery",15623,2011-01-24,10.5
"891","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Harambee Surgery",15623,2011-01-24,12.4
"892","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Harambee Surgery",15623,2011-01-24,26.55
"893","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Harambee Surgery",15623,2011-01-24,37.5
"894","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Harambee Surgery",15623,2011-01-24,62.5
"895","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Harambee Surgery",15623,2011-01-24,101.04
"896","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Harambee Surgery",15623,2011-01-24,104.5
"897","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Harambee Surgery",15623,2011-01-24,337.08
"898","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Harambee Surgery",15623,2011-01-24,400
"899","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Harambee Surgery",15623,2011-01-24,427.08
"900","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Harambee Surgery",15623,2011-01-24,586.52
"901","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Harambee Surgery",15623,2011-01-24,639.5
"902","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Harambee Surgery",15623,2011-01-24,700
"903","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Harambee Surgery",15623,2011-01-24,1958.33
"904","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Harambee Surgery",15623,2011-01-24,2772.99
"905","Department of Health","NHS East Lancashire","GMS - Dispensing Personal Administration","GMS","Harambee Surgery",15623,2011-01-24,4781.06
"906","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Harambee Surgery",15623,2011-01-24,4842.45
"907","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Disp GPs","GMS","Harambee Surgery",15623,2011-01-24,16067.78
"908","Department of Health","NHS East Lancashire","GMS - Adv Paid - Disp GP's","GMS","Harambee Surgery",15623,2011-01-24,17582.6
"909","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Harambee Surgery",15623,2011-01-24,17672.11
"910","Department of Health","NHS East Lancashire","PMS LES - Coronary Vascular Disease","PMS","Whitefield Healthcare",15623,2011-01-15,-250
"911","Department of Health","NHS East Lancashire","PMS LES - HDSU Sterilisation of Equipment","PMS","Whitefield Healthcare",15623,2011-01-15,7.25
"912","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Whitefield Healthcare",15623,2011-01-15,17.7
"913","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Whitefield Healthcare",15623,2011-01-15,33.71
"914","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Whitefield Healthcare",15623,2011-01-15,85.42
"915","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Whitefield Healthcare",15623,2011-01-15,315
"916","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Whitefield Healthcare",15623,2011-01-15,400
"917","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Whitefield Healthcare",15623,2011-01-15,889.25
"918","Department of Health","NHS East Lancashire","PMS DES - Extended Hours","PMS","Whitefield Healthcare",15623,2011-01-15,2510.41
"919","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Whitefield Healthcare",15623,2011-01-15,3962.96
"920","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Whitefield Healthcare",15623,2011-01-15,4146.7
"921","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Whitefield Healthcare",15623,2011-01-15,5639.67
"922","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Whitefield Healthcare",15623,2011-01-15,7222.75
"923","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Whitefield Healthcare",15623,2011-01-15,16966.8
"924","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,15
"925","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,33.33
"926","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,33.36
"927","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,44.25
"928","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,100
"929","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,224.98
"930","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,683.33
"931","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,1979.88
"932","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,2322.29
"933","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Rishton & Great Harwood Surgery",15623,2011-01-24,7703.28
"934","Department of Health","NHS East Lancashire","GMS PCO - Seniority","GMS","Abbey Surgery",15623,2011-01-24,-406.32
"935","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Abbey Surgery",15623,2011-01-24,2
"936","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Abbey Surgery",15623,2011-01-24,9.92
"937","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Abbey Surgery",15623,2011-01-24,44.25
"938","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Abbey Surgery",15623,2011-01-24,125
"939","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Abbey Surgery",15623,2011-01-24,424.46
"940","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Abbey Surgery",15623,2011-01-24,427.08
"941","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Abbey Surgery",15623,2011-01-24,1156.23
"942","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Abbey Surgery",15623,2011-01-24,1391.67
"943","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Abbey Surgery",15623,2011-01-24,1779.44
"944","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Abbey Surgery",15623,2011-01-24,7893.33
"945","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Cabin Surgery",15623,2011-01-24,44.25
"946","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Cabin Surgery",15623,2011-01-24,50
"947","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Cabin Surgery",15623,2011-01-24,53.2
"948","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Cabin Surgery",15623,2011-01-24,137.5
"949","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Cabin Surgery",15623,2011-01-24,158.33
"950","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Cabin Surgery",15623,2011-01-24,200.21
"951","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Cabin Surgery",15623,2011-01-24,500
"952","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Cabin Surgery",15623,2011-01-24,659.66
"953","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Cabin Surgery",15623,2011-01-24,875
"954","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Cabin Surgery",15623,2011-01-24,1031.33
"955","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Cabin Surgery",15623,2011-01-24,1279
"956","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Cabin Surgery",15623,2011-01-24,1729.17
"957","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Cabin Surgery",15623,2011-01-24,4773.62
"958","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Cabin Surgery",15623,2011-01-24,5471.46
"959","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Cabin Surgery",15623,2011-01-24,21114.52
"960","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Daneshouse Medical Centre",15623,2011-01-15,19.85
"961","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Daneshouse Medical Centre",15623,2011-01-15,34.17
"962","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Daneshouse Medical Centre",15623,2011-01-15,35.4
"963","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Daneshouse Medical Centre",15623,2011-01-15,200
"964","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Daneshouse Medical Centre",15623,2011-01-15,425.36
"965","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","Daneshouse Medical Centre",15623,2011-01-15,585.83
"966","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Daneshouse Medical Centre",15623,2011-01-15,979.42
"967","Department of Health","NHS East Lancashire","PMS DES - Extended Hours","PMS","Daneshouse Medical Centre",15623,2011-01-15,1172.33
"968","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Daneshouse Medical Centre",15623,2011-01-15,2166.67
"969","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Daneshouse Medical Centre",15623,2011-01-15,3215.15
"970","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Daneshouse Medical Centre",15623,2011-01-15,5169.67
"971","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Daneshouse Medical Centre",15623,2011-01-15,5461.46
"972","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Daneshouse Medical Centre",15623,2011-01-15,9062.59
"973","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Daneshouse Medical Centre",15623,2011-01-15,17937.22
"974","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Barrowford Surgery",15623,2011-01-15,44.25
"975","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Barrowford Surgery",15623,2011-01-15,44.83
"976","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Barrowford Surgery",15623,2011-01-15,59.54
"977","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","Barrowford Surgery",15623,2011-01-15,165
"978","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Barrowford Surgery",15623,2011-01-15,284.64
"979","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","Barrowford Surgery",15623,2011-01-15,382.83
"980","Department of Health","NHS East Lancashire","PMS LES - Medicine Management","PMS","Barrowford Surgery",15623,2011-01-15,427.08
"981","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Barrowford Surgery",15623,2011-01-15,492.5
"982","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Barrowford Surgery",15623,2011-01-15,515
"983","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Barrowford Surgery",15623,2011-01-15,549.75
"984","Department of Health","NHS East Lancashire","PMS DES - Extended Hours","PMS","Barrowford Surgery",15623,2011-01-15,1211
"985","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Barrowford Surgery",15623,2011-01-15,1854.17
"986","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Barrowford Surgery",15623,2011-01-15,3726.39
"987","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Barrowford Surgery",15623,2011-01-15,4615.62
"988","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Barrowford Surgery",15623,2011-01-15,5277.08
"989","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Barrowford Surgery",15623,2011-01-15,5639.67
"990","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Barrowford Surgery",15623,2011-01-15,12901.08
"991","Department of Health","NHS East Lancashire","GMS Health Centre Charges","GMS","The Hill Top Surgery",15623,2011-01-24,-837.33
"992","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","The Hill Top Surgery",15623,2011-01-24,13.33
"993","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","The Hill Top Surgery",15623,2011-01-24,17.7
"994","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","The Hill Top Surgery",15623,2011-01-24,23.5
"995","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","The Hill Top Surgery",15623,2011-01-24,30.04
"996","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","The Hill Top Surgery",15623,2011-01-24,32.5
"997","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","The Hill Top Surgery",15623,2011-01-24,185
"998","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","The Hill Top Surgery",15623,2011-01-24,250
"999","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","The Hill Top Surgery",15623,2011-01-24,402.04
"1000","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","The Hill Top Surgery",15623,2011-01-24,624.95
"1001","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","The Hill Top Surgery",15623,2011-01-24,1363.3
"1002","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","The Hill Top Surgery",15623,2011-01-24,2510.62
"1003","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","The Hill Top Surgery",15623,2011-01-24,11386.43
"1004","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Dr Jha and Partners",15623,2011-01-24,17.7
"1005","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Dr Jha and Partners",15623,2011-01-24,20
"1006","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Dr Jha and Partners",15623,2011-01-24,194.12
"1007","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Dr Jha and Partners",15623,2011-01-24,300
"1008","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Dr Jha and Partners",15623,2011-01-24,427.08
"1009","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Dr Jha and Partners",15623,2011-01-24,548.44
"1010","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Dr Jha and Partners",15623,2011-01-24,1865.7
"1011","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Dr Jha and Partners",15623,2011-01-24,3181.36
"1012","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dr Jha and Partners",15623,2011-01-24,14268.78
"1013","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Ruskin Health Care",15623,2011-01-24,17.7
"1014","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Ruskin Health Care",15623,2011-01-24,36.33
"1015","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Ruskin Health Care",15623,2011-01-24,39.69
"1016","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Ruskin Health Care",15623,2011-01-24,42.75
"1017","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Ruskin Health Care",15623,2011-01-24,400
"1018","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Ruskin Health Care",15623,2011-01-24,427.08
"1019","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Ruskin Health Care",15623,2011-01-24,725
"1020","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Ruskin Health Care",15623,2011-01-24,950.48
"1021","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Ruskin Health Care",15623,2011-01-24,1024.33
"1022","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Ruskin Health Care",15623,2011-01-24,4585.68
"1023","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Ruskin Health Care",15623,2011-01-24,4988.71
"1024","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Ruskin Health Care",15623,2011-01-24,6618.88
"1025","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Ruskin Health Care",15623,2011-01-24,21189.19
